type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,duration_int,duration_type,year_added_scaled
0,Joaquín Reyes: Una y no más,José Miguel Contreras,Joaquín Reyes,Unknown,2017-09-08,2017,9,78 min,Stand-Up Comedy,2017.0,9.0,78,min,0.030430154475105116
0,Kidnapping Mr. Heineken,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",2017-09-08,2015,6,95 min,"Action & Adventure, Dramas, International Movies",2017.0,9.0,95,min,0.030430154475105116
0,Krish Trish and Baltiboy,No Info,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Unknown,2017-09-08,2009,12,58 min,Children & Family Movies,2017.0,9.0,58,min,0.030430154475105116
0,Krish Trish and Baltiboy: Battle of Wits,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",Unknown,2017-09-08,2013,12,62 min,Children & Family Movies,2017.0,9.0,62,min,0.030430154475105116
0,Krish Trish and Baltiboy: Best Friends Forever,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",Unknown,2017-09-08,2016,11,65 min,Children & Family Movies,2017.0,9.0,65,min,0.030430154475105116
0,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Unknown,2017-09-08,2012,12,61 min,Children & Family Movies,2017.0,9.0,61,min,0.030430154475105116
0,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,"Rishi Gambhir, Smita Malhotra, Deepak Chachra",Unknown,2017-09-08,2017,12,65 min,Children & Family Movies,2017.0,9.0,65,min,0.030430154475105116
0,Krish Trish and Baltiboy: Part II,No Info,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Unknown,2017-09-08,2010,12,58 min,Children & Family Movies,2017.0,9.0,58,min,0.030430154475105116
0,Krish Trish and Baltiboy: The Greatest Trick,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Unknown,2017-09-08,2013,12,60 min,Children & Family Movies,2017.0,9.0,60,min,0.030430154475105116
0,Love,Gaspar Noé,"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy","France, Belgium",2017-09-08,2015,2,135 min,"Cult Movies, Dramas, Independent Movies",2017.0,9.0,135,min,0.030430154475105116
0,Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,2017-09-08,2014,7,98 min,"Comedies, Independent Movies, Romantic Movies",2017.0,9.0,98,min,0.030430154475105116
0,Moonwalkers,Antoine Bardou-Jacquet,"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium",2017-09-08,2015,6,96 min,"Action & Adventure, Comedies, International Movies",2017.0,9.0,96,min,0.030430154475105116
0,Rolling Papers,Mitch Dickman,,"United States, Uruguay",2017-09-08,2015,9,79 min,Documentaries,2017.0,9.0,79,min,0.030430154475105116
0,Stonehearst Asylum,Brad Anderson,"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",United States,2017-09-08,2014,5,113 min,"Horror Movies, Thrillers",2017.0,9.0,113,min,0.030430154475105116
0,The Runner,Austin Stark,"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",United States,2017-09-08,2015,6,90 min,"Dramas, Independent Movies",2017.0,9.0,90,min,0.030430154475105116
0,6 Years,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,2015-09-08,2015,2,80 min,"Dramas, Independent Movies, Romantic Movies",2015.0,9.0,80,min,0.0068178090683573694
1,Castle of Stars,No Info,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",Unknown,2018-09-07,2015,7,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2018.0,9.0,1,Season,0.042236327178478986
0,City of Joy,Madeleine Gavin,,"United States,",2018-09-07,2018,9,77 min,Documentaries,2018.0,9.0,77,min,0.042236327178478986
1,First and Last,No Info,,Unknown,2018-09-07,2018,9,1 Season,Docuseries,2018.0,9.0,1,Season,0.042236327178478986
0,Laddaland,Sopon Sukdapisit,"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,2018-09-07,2011,9,112 min,"Horror Movies, International Movies",2018.0,9.0,112,min,0.042236327178478986
0,Next Gen,"Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States",2018-09-07,2018,10,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",2018.0,9.0,106,min,0.042236327178478986
0,Sierra Burgess Is A Loser,Ian Samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",United States,2018-09-07,2018,5,106 min,"Comedies, Romantic Movies",2018.0,9.0,106,min,0.042236327178478986
0,The Most Assassinated Woman in the World,Franck Ribière,"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States",2018-09-07,2018,9,102 min,"Dramas, International Movies, Thrillers",2018.0,9.0,102,min,0.042236327178478986
0,Cézanne et moi,Daniele Thompson,"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker","Belgium, France",2017-09-07,2016,6,114 min,"Dramas, Independent Movies, International Movies",2017.0,9.0,114,min,0.030430154475105116
1,Archibald's Next Big Thing,No Info,"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",Unknown,2019-09-06,2019,12,1 Season,"Kids' TV, TV Comedies",2019.0,9.0,1,Season,0.05404249988185286
0,Article 15,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,2019-09-06,2019,9,125 min,"Dramas, International Movies, Thrillers",2019.0,9.0,125,min,0.05404249988185286
0,Care of Kancharapalem,Maha Venkatesh,"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",Unknown,2019-09-06,2018,7,142 min,"Comedies, Dramas, Independent Movies",2019.0,9.0,142,min,0.05404249988185286
0,Ee Nagaraniki Emaindi,Tharun Bhascker,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,2019-09-06,2018,7,133 min,"Comedies, International Movies",2019.0,9.0,133,min,0.05404249988185286
0,Kill Me If You Dare,Şenol Sönmez,"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",Unknown,2019-09-06,2019,7,100 min,"Comedies, International Movies, Romantic Movies",2019.0,9.0,100,min,0.05404249988185286
1,The Spy,No Info,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,2019-09-06,2019,9,1 Season,"International TV Shows, TV Dramas, TV Thrillers",2019.0,9.0,1,Season,0.05404249988185286
0,Hell and Back,"Tom Gianas, Ross R. Shuman","Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",United States,2018-09-06,2015,6,86 min,"Action & Adventure, Comedies, Independent Movies",2018.0,9.0,86,min,0.042236327178478986
0,PK,Rajkumar Hirani,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,2018-09-06,2014,7,146 min,"Comedies, Dramas, International Movies",2018.0,9.0,146,min,0.042236327178478986
0,Hard Tide,"Robert Osman, Nathanael Wiseman","Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills",United Kingdom,2017-09-06,2015,9,79 min,"Dramas, Independent Movies",2017.0,9.0,79,min,0.030430154475105116
0,Elstree 1976,Jon Spira,"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose",United Kingdom,2016-09-06,2015,10,102 min,Documentaries,2016.0,9.0,102,min,0.018623981771731243
0,American Factory: A Conversation with the Obamas,No Info,"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar",Unknown,2019-09-05,2019,8,10 min,Documentaries,2019.0,9.0,10,min,0.05404249988185286
0,ATM,Mez Tharatorn,"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",2018-09-05,2012,7,122 min,"Comedies, International Movies, Romantic Movies",2018.0,9.0,122,min,0.042236327178478986
0,Bangkok Traffic (Love) Story,Adisorn Tresirikasem,"Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano",Thailand,2018-09-05,2009,7,126 min,"Comedies, International Movies, Romantic Movies",2018.0,9.0,126,min,0.042236327178478986
0,I Fine... Thank You... Love You,Mez Tharatorn,"Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij",Thailand,2018-09-05,2014,7,116 min,"Comedies, International Movies, Romantic Movies",2018.0,9.0,116,min,0.042236327178478986
0,One Day,Banjong Pisanthanakun,"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura",Thailand,2018-09-05,2016,10,135 min,"Dramas, International Movies, Romantic Movies",2018.0,9.0,135,min,0.042236327178478986
0,Phobia 2,"Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks","Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong",Thailand,2018-09-05,2009,9,125 min,"Horror Movies, International Movies",2018.0,9.0,125,min,0.042236327178478986
0,Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom","Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr",Thailand,2018-09-05,2004,9,96 min,"Horror Movies, International Movies",2018.0,9.0,96,min,0.042236327178478986
0,Suckseed,Chayanop Boonprakob,"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,2018-09-05,2011,9,130 min,"Comedies, International Movies",2018.0,9.0,130,min,0.042236327178478986
0,Carrie Pilby,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,2017-09-05,2016,7,98 min,"Comedies, Dramas",2017.0,9.0,98,min,0.030430154475105116
0,Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,2017-09-05,2017,9,70 min,Stand-Up Comedy,2017.0,9.0,70,min,0.030430154475105116
1,No Tomorrow,No Info,"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz",United States,2017-09-05,2016,7,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",2017.0,9.0,1,Season,0.030430154475105116
0,Saawan,Farhan Alam,"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,2019-09-04,2016,7,128 min,"Dramas, Independent Movies, International Movies",2019.0,9.0,128,min,0.05404249988185286
0,The Heretics,Chad Archibald,"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond",Canada,2019-09-04,2017,9,88 min,Horror Movies,2019.0,9.0,88,min,0.05404249988185286
0,The World We Make,Brian Baugh,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",United States,2019-09-04,2019,4,108 min,"Dramas, Romantic Movies",2019.0,9.0,108,min,0.05404249988185286
0,Watchman,A. L. Vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,2019-09-04,2019,7,93 min,"Comedies, Dramas, International Movies",2019.0,9.0,93,min,0.05404249988185286
0,Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",United States,2018-09-04,2018,5,135 min,"Action & Adventure, Sci-Fi & Fantasy",2018.0,9.0,135,min,0.042236327178478986
0,Man Up,Ben Palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge","United Kingdom, France",2018-09-04,2015,6,88 min,"Comedies, International Movies, Romantic Movies",2018.0,9.0,88,min,0.042236327178478986
1,Frequency,No Info,"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar",United States,2017-09-04,2016,7,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",2017.0,9.0,1,Season,0.030430154475105116
0,Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,United Kingdom,2019-09-30,2019,9,64 min,Stand-Up Comedy,2019.0,9.0,64,min,0.05404249988185286
1,Adam Ruins Everything,No Info,"Adam Conover, Adam Lustick, Emily Axford",United States,2018-09-30,2018,7,1 Season,TV Comedies,2018.0,9.0,1,Season,0.042236327178478986
1,Ben 10,No Info,"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara",United States,2018-09-30,2016,12,1 Season,Kids' TV,2018.0,9.0,1,Season,0.042236327178478986
0,Big Miracle,Ken Kwapis,"Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston","United States, United Kingdom",2018-09-30,2012,4,107 min,"Children & Family Movies, Dramas",2018.0,9.0,107,min,0.042236327178478986
1,Christiane Amanpour: Sex & Love Around the World,No Info,,United States,2018-09-30,2018,9,1 Season,Docuseries,2018.0,9.0,1,Season,0.042236327178478986
1,The Eighties,No Info,,United States,2018-09-30,2016,10,1 Season,Docuseries,2018.0,9.0,1,Season,0.042236327178478986
1,The Nineties,No Info,,United States,2018-09-30,2017,7,1 Season,Docuseries,2018.0,9.0,1,Season,0.042236327178478986
1,The Seventies,No Info,,United States,2018-09-30,2015,10,1 Season,Docuseries,2018.0,9.0,1,Season,0.042236327178478986
1,We Bare Bears,No Info,"Eric Edelstein, Demetri Martin, Bobby Moynihan",United States,2018-09-30,2017,12,1 Season,"Kids' TV, TV Comedies",2018.0,9.0,1,Season,0.042236327178478986
0,The Mayor,Park In-je,"Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park",South Korea,2017-09-30,2017,9,130 min,"Dramas, International Movies",2017.0,9.0,130,min,0.030430154475105116
1,The Royal House of Windsor,No Info,,United Kingdom,2017-09-30,2017,7,1 Season,"British TV Shows, Docuseries, International TV Shows",2017.0,9.0,1,Season,0.030430154475105116
0,Amanda Knox,"Rod Blackhurst, Brian McGinn",,"Denmark, United States",2016-09-30,2016,9,92 min,Documentaries,2016.0,9.0,92,min,0.018623981771731243
1,Lovesick,No Info,"Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin",Unknown,2018-09-03,2014,7,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",2018.0,9.0,1,Season,0.042236327178478986
0,The Debt Collector,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","United Kingdom, United States",2018-09-03,2018,9,96 min,Action & Adventure,2018.0,9.0,96,min,0.042236327178478986
0,Act of Vengeance,Mahsun Kırmızıgül,"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States",2018-09-29,2010,2,112 min,"Action & Adventure, International Movies",2018.0,9.0,112,min,0.042236327178478986
0,Paradise Lost,Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,2018-09-29,2018,9,111 min,"Dramas, Independent Movies, International Movies",2018.0,9.0,111,min,0.042236327178478986
0,Gerald's Game,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",United States,2017-09-29,2017,9,103 min,"Horror Movies, Thrillers",2017.0,9.0,103,min,0.030430154475105116
0,Long Shot,Jacob LaMendola,,United States,2017-09-29,2017,7,40 min,Documentaries,2017.0,9.0,40,min,0.030430154475105116
1,Mak Cun,No Info,"Erma Fatima, Rahim Razali, Umie Aida, Nora Danish",Unknown,2017-09-29,2015,10,1 Season,"International TV Shows, TV Comedies, TV Dramas",2017.0,9.0,1,Season,0.030430154475105116
0,Our Souls at Night,Ritesh Batra,"Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville",United States,2017-09-29,2017,7,103 min,"Dramas, Romantic Movies",2017.0,9.0,103,min,0.030430154475105116
0,Out of Thin Air,Dylan Howitt,,Unknown,2017-09-29,2017,7,85 min,"Documentaries, International Movies",2017.0,9.0,85,min,0.030430154475105116
1,Paul Hollywood's Big Continental Road Trip,No Info,Paul Hollywood,United Kingdom,2017-09-29,2017,7,1 Season,"British TV Shows, Docuseries, International TV Shows",2017.0,9.0,1,Season,0.030430154475105116
1,Satu Hari,No Info,"Sara Ali, Remy Ishak, Rita Rudaini, Mirza Salihovic, Hafizul Kamal, Miller Khan",Unknown,2017-09-29,2014,7,1 Season,"International TV Shows, TV Dramas",2017.0,9.0,1,Season,0.030430154475105116
0,"Monster High: Boo York, Boo York",William Lau,"Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey",United States,2015-09-29,2015,12,72 min,"Children & Family Movies, Music & Musicals",2015.0,9.0,72,min,0.0068178090683573694
0,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Mana Yasuda,,Unknown,2019-09-28,2019,8,45 min,"Documentaries, International Movies",2019.0,9.0,45,min,0.05404249988185286
0,Domino,Brian De Palma,"Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, Søren Malling, Paprika Steen, Helena Kaittani","Denmark, France, Italy, Belgium, Netherlands",2019-09-28,2019,6,89 min,"International Movies, Thrillers",2019.0,9.0,89,min,0.05404249988185286
0,TUNA GIRL,Mana Yasuda,"Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu",Unknown,2019-09-28,2019,10,90 min,"Dramas, International Movies",2019.0,9.0,90,min,0.05404249988185286
0,5CM,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",Indonesia,2018-09-28,2012,7,126 min,"Dramas, International Movies",2018.0,9.0,126,min,0.042236327178478986
0,Animal World,Han Yan,"Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke",China,2018-09-28,2018,9,130 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",2018.0,9.0,130,min,0.042236327178478986
0,Hold the Dark,Jeremy Saulnier,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie",United States,2018-09-28,2018,9,126 min,"Action & Adventure, Dramas",2018.0,9.0,126,min,0.042236327178478986
0,Lessons from a School Shooting: Notes from Dunblane,Kim A. Snyder,,United States,2018-09-28,2018,10,24 min,Documentaries,2018.0,9.0,24,min,0.042236327178478986
1,Made in Mexico,No Info,,United States,2018-09-28,2018,9,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",2018.0,9.0,1,Season,0.042236327178478986
0,Single,Raditya Dika,"Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes",Indonesia,2018-09-28,2015,10,127 min,"Comedies, International Movies, Romantic Movies",2018.0,9.0,127,min,0.042236327178478986
0,The 3rd Eye,Rocky Soraya,"Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman",Indonesia,2018-09-28,2018,9,108 min,"Horror Movies, International Movies",2018.0,9.0,108,min,0.042236327178478986
0,The Sinking Of Van Der Wijck,Sunil Soraya,"Herjunot Ali, Pevita Pearce, Reza Rahadian, Randy Nidji, Gesya Shandy, Kevin Andrean, Arzetti Bilbina",Indonesia,2018-09-28,2013,7,163 min,"Dramas, International Movies, Romantic Movies",2018.0,9.0,163,min,0.042236327178478986
0,Two Catalonias,"Álvaro Longoria, Gerardo Olivares",,Spain,2018-09-28,2018,9,117 min,"Documentaries, International Movies",2018.0,9.0,117,min,0.042236327178478986
0,Bobby Sands: 66 Days,Brendan Byrne,,"Ireland, United Kingdom",2017-09-28,2016,7,106 min,Documentaries,2017.0,9.0,106,min,0.030430154475105116
1,Bard of Blood,No Info,"Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain",India,2019-09-27,2019,9,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",2019.0,9.0,1,Season,0.05404249988185286
0,Deliha 2,Gupse Özay,"Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, Hülya Duyar, Ali Çelik, Mert Öner",Turkey,2019-09-27,2018,10,102 min,"Comedies, International Movies",2019.0,9.0,102,min,0.05404249988185286
1,Dragons: Rescue Riders,No Info,"Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin",Unknown,2019-09-27,2019,11,1 Season,"Kids' TV, TV Comedies",2019.0,9.0,1,Season,0.05404249988185286
